loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch,step
2.5254857540130615,2.140625,0.0002,1.0665190368890762,2048.0,0.5753424614667892,0.05555555555555555,1
1.9411513805389404,1.0625,0.00019983081582712685,1.1602914929389954,4096.0,0.6340508759021759,0.1111111111111111,2
1.7213002443313599,0.8203125,0.00019932383577419432,1.3837536573410034,6129.0,0.6492961347103119,0.16666666666666666,3
1.5463125705718994,0.87890625,0.00019848077530122083,1.5846540033817291,8142.0,0.6651788502931595,0.2222222222222222,4
1.4662933349609375,0.921875,0.00019730448705798239,1.695368379354477,10190.0,0.6741683036088943,0.2777777777777778,5
2.5254857540130615,2.140625,0.0002,1.0665190368890762,2048.0,0.5753424614667892,0.05555555555555555,1
1.9411513805389404,1.0625,0.00019983081582712685,1.1602914929389954,4096.0,0.6340508759021759,0.1111111111111111,2
1.7213002443313599,0.8203125,0.00019932383577419432,1.3837536573410034,6129.0,0.6492961347103119,0.16666666666666666,3
1.5463125705718994,0.87890625,0.00019848077530122083,1.5846540033817291,8142.0,0.6651788502931595,0.2222222222222222,4
1.4662933349609375,0.921875,0.00019730448705798239,1.695368379354477,10190.0,0.6741683036088943,0.2777777777777778,5
1.1517581939697266,1.0078125,0.0001957989512315489,1.4483432173728943,12119.0,0.7286097854375839,0.3333333333333333,6
1.0898381471633911,1.03125,0.00019396926207859084,1.2850054800510406,14167.0,0.7504892200231552,0.3888888888888889,7
0.8733346462249756,1.0625,0.00019182161068802741,1.009704664349556,16215.0,0.785225048661232,0.4444444444444444,8
0.6696434020996094,1.0078125,0.00018936326403234125,0.7755386084318161,18179.0,0.8254483044147491,0.5,9
0.852570652961731,0.75,0.00018660254037844388,0.8316501080989838,20227.0,0.788649708032608,0.5555555555555556,10
0.617686927318573,0.65625,0.00018354878114129367,0.6708103269338608,22161.0,0.8353592157363892,0.6111111111111112,11
0.5936712622642517,0.625,0.0001802123192755044,0.6432080119848251,24114.0,0.8384485840797424,0.6666666666666666,12
0.669371485710144,0.6796875,0.0001766044443118978,0.6645258814096451,26158.0,0.8240397721529007,0.7222222222222222,13
0.5903777480125427,0.6875,0.00017273736415730488,0.5916708260774612,28193.0,0.8357392400503159,0.7777777777777778,14
0.6989246606826782,0.81640625,0.0001686241637868734,0.6591582074761391,30241.0,0.8121330738067627,0.8333333333333334,15
0.49525773525238037,0.7109375,0.00016427876096865394,0.48636338859796524,32218.0,0.8574630618095398,0.8888888888888888,16
0.6277851462364197,0.64453125,0.00015971585917027862,0.6240954473614693,34266.0,0.8263209462165833,0.9444444444444444,17
0.4801901578903198,0.609375,0.0001549508978070806,0.48363760858774185,36204.0,0.8637743294239044,1.0,18
0.39366450905799866,0.59375,0.00015000000000000001,0.45896606892347336,38220.0,0.8872144222259521,1.0555555555555556,19
0.4461907744407654,0.625,0.00014487991802004623,0.5122283548116684,40177.0,0.8738812953233719,1.1111111111111112,20
0.4773976802825928,0.5625,0.0001396079766039157,0.5281142294406891,42173.0,0.863722488284111,1.1666666666666667,21
0.48917052149772644,0.58984375,0.00013420201433256689,0.5337284058332443,44221.0,0.858121320605278,1.2222222222222223,22
0.36811476945877075,0.56640625,0.00012868032327110904,0.39654240012168884,46209.0,0.8911355882883072,1.2777777777777777,23
0.39133507013320923,0.5390625,0.00012306158707424403,0.44212373346090317,48222.0,0.8794247061014175,1.3333333333333333,24
0.45130932331085205,0.60546875,0.00011736481776669306,0.4487858712673187,50226.0,0.8623902946710587,1.3888888888888888,25
0.4958864152431488,0.62109375,0.00011160929141252303,0.4950084835290909,52274.0,0.8493150770664215,1.4444444444444444,26
0.4649365544319153,0.61328125,0.00010581448289104758,0.423336997628212,54322.0,0.8674168437719345,1.5,27
